COURSE_CODE	PREREQ_STRING	TOKENS	STATUS
AEM 5550	AEM 2100, ECON 1110 or equivalent.	COURSE(AEM 2100) OR COURSE(ECON 1110)	OK
AEM 5570	coursework in introductory finance.	COURSE(Special requirement: coursework in introductory finance)	OK
AEM 5600	ECON 1110, ECON 1120, MATH 1110 or equivalents.	COURSE(ECON 1110) AND COURSE(ECON 1120) AND COURSE(MATH 1110)	OK (manually corrected)
AEM 5670	coursework in introductory finance.	COURSE(Special requirement: coursework in introductory finance)	OK
AEM 5710	HADM 1650, AEM 2700 or equivalent.	COURSE(HADM 1650) OR COURSE(AEM 2700)	OK
ALS 3020	at least one of the following courses: AEM 1200, AEM 2050, AEM 2200, AEM 2240 / 2241, AEM 2310.	COURSE(AEM 1200) OR COURSE(AEM 2050) OR COURSE(AEM 2200) OR COURSE(AEM 2240) OR COURSE(AEM 2241) OR COURSE(AEM 2310)	OK (manually corrected)
ALS 3105	IARD and GDEV majors: GDEV 2105 and pre-departure portfolio, or GDEV 3104; CALS Global Fellows: ALS 2300.	COURSE(GDEV 2105) OR COURSE(GDEV 3104) OR COURSE(ALS 2300)	OK (manually corrected)
ALS 5780	ITA Language Assessment or permission of ITAP.	LPAREN COURSE(Special requirement: ITA Language Assessment) RPAREN OR COURSE(Permission: permission of ITAP)	OK
ALS 5790	ALS 5780 or permission of ITAP.	LPAREN COURSE(ALS 5780) RPAREN OR COURSE(Permission: permission of ITAP)	OK
ALS 5800	ALS 5780 and ALS 5790.	COURSE(ALS 5780) AND COURSE(ALS 5790)	OK
ALS 5910	ALS 5900.	COURSE(ALS 5900)	OK
ANSC 2120	CHEM 1560 or equivalent.	COURSE(CHEM 1560)	OK
ANSC 2170	one semester of undergraduate biology (e.g., BIOMG 1350, BIOG 1440, or BIOG 1445).	COURSE(Special requirement: one semester of undergraduate biology) OR COURSE(BIOMG 1350) OR COURSE(BIOG 1440) OR COURSE(BIOG 1445)	OK
ANSC 2300	BIOAP 1100 or permission of instructor.	LPAREN COURSE(BIOAP 1100) RPAREN OR COURSE(Permission: permission of instructor)	OK
ANSC 2650	BIOAP 1100 or permission of instructor.	LPAREN COURSE(BIOAP 1100) RPAREN OR COURSE(Permission: permission of instructor)	OK
ANSC 3540	ANSC 2500 or permission of instructor.	LPAREN COURSE(ANSC 2500) RPAREN OR COURSE(Permission: permission of instructor)	OK
ANSC 4110	BIOAP 1100 and ANSC 2120, or equivalent.	COURSE(BIOAP 1100) AND COURSE(ANSC 2120)	OK
ANSC 4200	ANSC 2120.	COURSE(ANSC 2120)	OK
ANSC 4270	BIOAP 1100 or BIOG 1440, or permission of instructor.	LPAREN COURSE(BIOAP 1100) OR COURSE(BIOG 1440) RPAREN OR COURSE(Permission: permission of instructor)	OK
ANSC 4310	ANSC 2210 or equivalent genetics class.	COURSE(ANSC 2210) OR COURSE(Special requirement: genetics class)	OK
ANSC 4500	ANSC 2400 or equivalent, or permission of instructor.	LPAREN COURSE(ANSC 2400) RPAREN OR COURSE(Permission: permission of instructor)	OK
ANSC 4510	ANSC 2500 or equivalent, ANSC 3510, ANSC 3511, and AEM 3020, or permission of instructor.	LPAREN COURSE(ANSC 2500) AND COURSE(ANSC 3510) AND COURSE(ANSC 3511) AND COURSE(AEM 3020) RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
ANSC 4980	GPA of at least 2.7.	COURSE(Special requirement: GPA of at least 2.7)	OK (manually corrected)
ANSC 4990	GPA of at least 2.7.	COURSE(Special requirement: GPA of at least 2.7)	OK (manually corrected)
ANSC 5310	ANSC 2210 or equivalent genetics class.	COURSE(ANSC 2210) OR COURSE(Special requirement: genetics class)	OK
ANSC 5500	ANSC 2400 or equivalent, or permission of instructor.	LPAREN COURSE(ANSC 2400) RPAREN OR COURSE(Permission: permission of instructor)	OK
ANTHR 3474	ANTHR 1101.	COURSE(ANTHR 1101)	OK
ANTHR 4254	some previous background in archaeology, material culture studies, ancient history, or related fields.	COURSE(Special requirement: background in archaeology/material culture/ancient history)	OK (manually corrected)
ARAB 1203	one year of Arabic or permission of instructor.	LPAREN COURSE(Special requirement: one year of Arabic) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARAB 3201	ARAB 2202 or permission of instructor.	LPAREN COURSE(ARAB 2202) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARCH 2101	ARCH 1102.	COURSE(ARCH 1102)	OK
ARCH 2502	ARCH 1501 or permission of instructor.	LPAREN COURSE(ARCH 1501) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARCH 2613	ARCH 1612.	COURSE(ARCH 1612)	OK
ARCH 2802	ARCH 1801.	COURSE(ARCH 1801)	OK
ARCH 3101	ARCH 1611, ARCH 1612, ARCH 2613, ARCH 2614, ARCH 2616, and ARCH 2102.	COURSE(ARCH 1611) AND COURSE(ARCH 1612) AND COURSE(ARCH 2613) AND COURSE(ARCH 2614) AND COURSE(ARCH 2616) AND COURSE(ARCH 2102)	OK
ARCH 3102	ARCH 3101.	COURSE(ARCH 3101)	OK
ARCH 3197	ARCH 1101, ARCH 1102, ARCH 2101, and ARCH 2102.	COURSE(ARCH 1101) AND COURSE(ARCH 1102) AND COURSE(ARCH 2101) AND COURSE(ARCH 2102)	OK
ARCH 3302	ARCH 2302.	COURSE(ARCH 2302)	OK
ARCH 3308	ARCH 2301 and ARCH 3301 or permission of instructor.	LPAREN COURSE(ARCH 2301) AND COURSE(ARCH 3301) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARCH 3397	ARCH 2301. Prerequisite or Corequisite: ARCH 3301.	COURSE(ARCH 2301)	OK
ARCH 3497	ARCH 1801 and ARCH 2802.	COURSE(ARCH 1801) AND COURSE(ARCH 2802)	OK
ARCH 3615	ARCH 2614.	COURSE(ARCH 2614)	OK
ARCH 3819	ARCH 1801 and ARCH 2802 or permission of instructor.	LPAREN COURSE(ARCH 1801) AND COURSE(ARCH 2802) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARCH 3823	ARCH 1801 and ARCH 2802, or permission of instructor.	LPAREN COURSE(ARCH 1801) AND COURSE(ARCH 2802) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARCH 3897	ARCH 1801 and ARCH 2802.	COURSE(ARCH 1801) AND COURSE(ARCH 2802)	OK
ARCH 4101	ARCH 1801, ARCH 2302, ARCH 2802, ARCH 3102, ARCH 3301, and ARCH 3615.	COURSE(ARCH 1801) AND COURSE(ARCH 2302) AND COURSE(ARCH 2802) AND COURSE(ARCH 3102) AND COURSE(ARCH 3301) AND COURSE(ARCH 3615)	OK
ARCH 4102	ARCH 4101.	COURSE(ARCH 4101)	OK
ARCH 4508	ARCH 1501, ARCH 2502.	COURSE(ARCH 1501) AND COURSE(ARCH 2502)	OK
ARCH 4509	ARCH 1501 and ARCH 2502, or permission of instructor.	LPAREN COURSE(ARCH 1501) AND COURSE(ARCH 2502) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARCH 4605	ARCH 2615 or permission of instructor.	LPAREN COURSE(ARCH 2615) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARCH 4697	ARCH 2614 and ARCH 2615.	COURSE(ARCH 2614) AND COURSE(ARCH 2615)	OK
ARCH 4698	ARCH 1611 and ARCH 2616.	COURSE(ARCH 1611) AND COURSE(ARCH 2616)	OK
ARCH 4699	ARCH 1612 and ARCH 2613.	COURSE(ARCH 1612) AND COURSE(ARCH 2613)	OK
ARCH 5101	ARCH 4102.	COURSE(ARCH 4102)	OK
ARCH 5104	nonadvancing grade in ARCH 5902.	COURSE(ARCH 5902)	OK
ARCH 5113	ARCH 5112.	COURSE(ARCH 5112)	OK
ARCH 5115	ARCH 5114.	COURSE(ARCH 5114)	OK
ARCH 5116	ARCH 5115.	COURSE(ARCH 5115)	OK
ARCH 5302	ARCH 5301.	COURSE(ARCH 5301)	OK
ARCH 5613	ARCH 5612.	COURSE(ARCH 5612)	OK
ARCH 5615	ARCH 5612.	COURSE(ARCH 5612)	OK
ARCH 5802	ARCH 5801 or approved equivalent.	COURSE(ARCH 5801) OR COURSE(Special requirement: approved equivalent)	OK
ARCH 5819	ARCH 5801 and ARCH 5802 or permission of instructor.	LPAREN COURSE(ARCH 5801) AND COURSE(ARCH 5802) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARCH 5902	for students having matriculated prior to Summer 2023: ARCH 5101 and ARCH 5911 or Required Directed Elective (RDE); for students matriculating Summer 2023 and beyond: ARCH 5101 and ARCH 5911.	COURSE(ARCH 5101) AND COURSE(ARCH 5911)	OK (manually corrected)
ARCH 5903	ARCH 4102 and approval of expanded thesis application.	COURSE(ARCH 4102) AND COURSE(Special requirement: approval of expanded thesis application)	OK
ARCH 5911	ARCH 4102 or permission of instructor.	LPAREN COURSE(ARCH 4102) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARKEO 3000	ARKEO 1200 or permission of instructor.	LPAREN COURSE(ARKEO 1200) RPAREN OR COURSE(Permission: permission of instructor)	OK
ARKEO 4254	some previous background in archaeology, material culture studies, ancient history, or related fields.	COURSE(Special requirement: background in archaeology/material culture/ancient history)	OK (manually corrected)
ART 3006	four 2000-level studios, ART 2103, and at least three additional ART studios.	COURSE(Special requirement: four 2000-level studios) AND COURSE(ART 2103) AND COURSE(Special requirement: three additional ART studios)	OK
ART 3201	ART 2201 or permission of instructor.	LPAREN COURSE(ART 2201) RPAREN OR COURSE(Permission: permission of instructor)	OK
ART 3299	ART 2201 or permission of instructor.	LPAREN COURSE(ART 2201) RPAREN OR COURSE(Permission: permission of instructor)	OK
ART 3305	ART 2301.	COURSE(ART 2301)	OK
ART 3307	ART 2301 or permission of instructor.	LPAREN COURSE(ART 2301) RPAREN OR COURSE(Permission: permission of instructor)	OK
ART 3399	ART 2301 or permission of instructor.	LPAREN COURSE(ART 2301) RPAREN OR COURSE(Permission: permission of instructor)	OK
ART 3499	ART 2401, or architecture design studio, or permission of instructor.	LPAREN COURSE(ART 2401) OR COURSE(Special requirement: architecture design studio) RPAREN OR COURSE(Permission: permission of instructor)	OK
ART 3599	ART 1501 or permission of instructor.	LPAREN COURSE(ART 1501) RPAREN OR COURSE(Permission: permission of instructor)	OK
ART 3699	ART 2601 or permission of instructor.	LPAREN COURSE(ART 2601) RPAREN OR COURSE(Permission: permission of instructor)	OK
ART 3705	ARCH 2502, ART 2701, or permission of instructor.	LPAREN COURSE(ARCH 2502) OR COURSE(ART 2701) RPAREN OR COURSE(Permission: permission of instructor)	OK
ART 4003	ART 3006.	COURSE(ART 3006)	OK
ART 4004	all advanced 3000-level studios, ART 3006, and ART 4003.	COURSE(Special requirement: all advanced 3000-level studios) AND COURSE(ART 3006) AND COURSE(ART 4003)	OK
ART 4100	all required 3000-level ART studios. Corequisite: ART 4003.	COURSE(Special requirement: all required 3000-level ART studios)	OK
ARTH 4754	some previous background in archaeology, material culture studies, ancient history, or related fields.	COURSE(Special requirement: background in archaeology/material culture/ancient history)	OK (manually corrected)
AS 3201	AS 3200.	COURSE(AS 3200)	OK
ASIAN 4021	one course in Asian religions on Buddhism.	COURSE(Special requirement: one course in Asian religions on Buddhism)	OK
ASIAN 4401	Admission to honors program.	COURSE(Special requirement: Admission to honors program)	OK
ASIAN 4402	Admission to honors program.	COURSE(Special requirement: Admission to honors program)	OK
ASIAN 4411	reading knowledge of Japanese.	COURSE(Special requirement: reading knowledge of Japanese)	OK
ASIAN 4480	one 3000 level course in the humanities; some knowledge of Asian history.	COURSE(Special requirement: one 3000 level course in humanities) AND COURSE(Special requirement: knowledge of Asian history)	OK (manually corrected)
ASL 2201	ASL 1102 or permission from lead ASL instructor.	COURSE(ASL 1102) OR COURSE(Special requirement: permission from lead ASL instructor)	OK
ASL 4410	ASL 1102 or LING 1101.	COURSE(ASL 1102) OR COURSE(LING 1101)	OK
ASRC 1203	one year of Arabic or permission of instructor.	LPAREN COURSE(Special requirement: one year of Arabic) RPAREN OR COURSE(Permission: permission of instructor)	OK
ASRC 3100	ARAB 2202 or permission of instructor.	LPAREN COURSE(ARAB 2202) RPAREN OR COURSE(Permission: permission of instructor)	OK
ASTRO 2211	introductory calculus or co-registration in MATH 1110 or MATH 1910 or permission of instructor.	LPAREN COURSE(Special requirement: introductory calculus) OR COURSE(MATH 1110) OR COURSE(MATH 1910) RPAREN OR COURSE(Permission: permission of instructor)	OK
ASTRO 3302	PHYS 2214 or PHYS 2218, can be enrolled concurrently, and MATH 1120 or MATH 1920.	LPAREN COURSE(PHYS 2214) OR COURSE(PHYS 2218) RPAREN AND LPAREN COURSE(MATH 1120) OR COURSE(MATH 1920) RPAREN	OK (manually corrected)
ASTRO 3340	calculus.	COURSE(Special requirement: calculus)	OK
ASTRO 4410	PHYS 2214, PHYS 2218, PHYS 3310, or PHYS 3360.	COURSE(PHYS 2214) OR COURSE(PHYS 2218) OR COURSE(PHYS 3310) OR COURSE(PHYS 3360)	OK
ASTRO 4431	mathematics above 2000 level, physics above 3000 level.	COURSE(Special requirement: mathematics above 2000 level) AND COURSE(Special requirement: physics above 3000 level)	OK
ASTRO 4445	classical mechanics at the level of PHYS 3318 and special relativity at the level of PHYS 1116 or PHYS 2216. Electromagnetism at the level of PHYS 3327 is useful.	COURSE(PHYS 3318) AND LPAREN COURSE(PHYS 1116) OR COURSE(PHYS 2216) RPAREN	OK (manually corrected)
ASTRO 4523	background in probability and statistics at the level of ENGRD 2700 or MATH 1710 or equivalent; lower division math background equivalent for a physics or engineering major.	COURSE(ENGRD 2700) OR COURSE(MATH 1710)	OK (manually corrected)
BEE 2510	CHEM 2070 or CHEM 2090 or AP Chem. Prerequisite or corequisite: MATH 2930.	COURSE(CHEM 2070) OR COURSE(CHEM 2090) OR COURSE(Special requirement: AP Chem)	OK
BEE 2600	Prerequisite or corequisite: MATH 2930, two semesters of core biology major classes (BIOMG 1350, BIOG 1440, BIOG 1445 or BIOEE 1610) plus BIOG 1500.	COURSE(MATH 2930) AND LPAREN COURSE(BIOMG 1350) OR COURSE(BIOG 1440) OR COURSE(BIOG 1445) OR COURSE(BIOEE 1610) RPAREN AND COURSE(BIOG 1500)	OK (manually corrected)
BEE 3310	MATH 2930.	COURSE(MATH 2930)	OK
BEE 3500	Prerequisite or corequisite: MATH 2930 and BEE 3310 or equivalent.	COURSE(MATH 2930) AND COURSE(BEE 3310)	OK
BEE 3600	BEE 2600, BIOMG 3300 or equivalent, MATH 2930 and MATH 2940, or permission of instructor.	COURSE(BEE 2600) AND COURSE(BIOMG 3300) AND COURSE(MATH 2930) AND COURSE(MATH 2940)	OK (manually corrected)
BEE 3900	MATH 2930 or permission of instructor.	LPAREN COURSE(MATH 2930) RPAREN OR COURSE(Permission: permission of instructor)	OK
BEE 4310	CEE 3040 or ENGRD 2700 or BTRY 3010.	COURSE(CEE 3040) OR COURSE(ENGRD 2700) OR COURSE(BTRY 3010)	OK
BEE 4560	at least one of the following courses or their equivalent: ENGRD 2020, BEE 3310, BEE 3500, and BEE 3400 or equivalent.	COURSE(ENGRD 2020) OR COURSE(BEE 3310) OR COURSE(BEE 3500) OR COURSE(BEE 3400)	OK (manually corrected)
BEE 4590	ENGRC 3350.	COURSE(ENGRC 3350)	OK
BEE 4730	CEE 3310.	COURSE(CEE 3310)	OK
BEE 4750	BEE 2510 or BEE 2600, ENGRD 2700 or CEE 3040, CEE 3200.	LPAREN COURSE(BEE 2510) OR COURSE(BEE 2600) RPAREN AND LPAREN COURSE(ENGRD 2700) OR COURSE(CEE 3040) RPAREN AND COURSE(CEE 3200)	OK (manually corrected)
BEE 4800	CHEM 2070 or CHEM 2090, MATH 1920, and PHYS 1112 or permission of instructor.	LPAREN LPAREN COURSE(CHEM 2070) OR COURSE(CHEM 2090) RPAREN AND COURSE(MATH 1920) AND COURSE(PHYS 1112) RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
BEE 4970	adequate ability and training for work proposed.	COURSE(Special requirement: adequate ability and training for work proposed)	OK (manually corrected)
BEE 4990	adequate training for work proposed.	COURSE(Special requirement: adequate training for work proposed)	OK
BEE 4993	BEE 4990.	COURSE(BEE 4990)	OK
BEE 5310	MATH 2930.	COURSE(MATH 2930)	OK
BEE 5500	Prerequisite or corequisite: MATH 2930 and BEE 3310 or equivalent.	COURSE(MATH 2930) AND COURSE(BEE 3310)	OK
BEE 5590	BEE 3310, BEE 3500.	COURSE(BEE 3310) AND COURSE(BEE 3500)	OK
BEE 5600	BEE 2600, BIOMG 3300 or equivalent, MATH 2930 and MATH 2940, or permission of instructor.	LPAREN COURSE(BEE 2600) AND COURSE(BIOMG 3300) AND COURSE(MATH 2930) AND COURSE(MATH 2940) RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
BEE 5730	CEE 3310 or BEE 5710 or CEE 6320 or an equivalent hydrology course.	COURSE(CEE 3310) OR COURSE(BEE 5710) OR COURSE(CEE 6320) OR COURSE(Special requirement: an equivalent hydrology course)	OK
BEE 5750	BEE 2510 or BEE 2600, ENGRD 2700 or CEE 3040, CEE 3200.	LPAREN COURSE(BEE 2510) OR COURSE(BEE 2600) RPAREN AND LPAREN COURSE(ENGRD 2700) OR COURSE(CEE 3040) RPAREN AND COURSE(CEE 3200)	OK (manually corrected)
BEE 5900	MATH 2930 or permission of instructor.	LPAREN COURSE(MATH 2930) RPAREN OR COURSE(Permission: permission of instructor)	OK
BENGL 2201	BENGL 1122 or examination.	COURSE(BENGL 1122) OR COURSE(Special requirement: examination)	OK
BENGL 3301	BENGL 2202 or examination.	COURSE(BENGL 2202) OR COURSE(Special requirement: examination)	OK
BIOAP 3110	BIOG 1500 and BIOG 1440 or BIOG 1445 or one year of college biology, one year of chemistry and mathematics or equivalent AP credit.	COURSE(BIOG 1500) AND LPAREN COURSE(BIOG 1440) OR COURSE(BIOG 1445) OR COURSE(Special requirement: one year of introductory biology) RPAREN	OK (manually corrected)
BIOAP 3190	Prerequisite or corequisite: BIOAP 3110.	COURSE(BIOAP 3110)	OK
BIOAP 4270	BIOAP 1100 or BIOG 1440, or permission of instructor.	LPAREN COURSE(BIOAP 1100) OR COURSE(BIOG 1440) RPAREN OR COURSE(Permission: permission of instructor)	OK
BIOAP 4980	previous enrollment in course to be taught or equivalent.	COURSE(Special requirement: previous enrollment in course to be taught)	OK
BIOCB 4810	BIOMG 2800, BIOEE 1780, or equivalents.	COURSE(BIOMG 2800) OR COURSE(BIOEE 1780)	OK
BIOCB 4840	BTRY 3010 and CS 2110 or equivalents.	COURSE(BTRY 3010) AND COURSE(CS 2110)	OK
BIOEE 3610	one semester of calculus and BIOEE 1610 or equivalent, or permission of instructor.	LPAREN COURSE(Special requirement: one semester of calculus) AND COURSE(BIOEE 1610) RPAREN OR COURSE(Permission: permission of instructor)	OK
BIOEE 3611	Prerequisite or corequisite: BIOEE 1610.	COURSE(BIOEE 1610)	OK
BIOEE 3780	BIOEE 2740.	COURSE(BIOEE 2740)	OK
BIOEE 4750	one year of college-level biology, environmental science, or the equivalent.	COURSE(Special requirement: one year of biology or environmental science)	OK (manually corrected)
BIOEE 4980	previous enrollment in course to be taught or equivalent.	COURSE(Special requirement: previous enrollment in course to be taught)	OK
BIOG 4980	previous enrollment in course to be taught or equivalent.	COURSE(Special requirement: previous enrollment in course to be taught)	OK
BIOG 4990	one semester BIOG 2990 or equivalent or permission of instructor.	COURSE(BIOG 2990) OR COURSE(Permission: permission of instructor)	OK (manually corrected)
BIOMG 2800	one college-level introductory biology course or equivalent, or permission of the instructor.	LPAREN COURSE(Special requirement: one college-level introductory biology course) RPAREN OR COURSE(Permission: permission of the instructor)	OK
BIOMG 2801	BIOMG 2800, if you have not taken BIOMG 1350, or biochemistry (BIOMG 3300, BIOMG 3320, or BIOMG 3350). Corequisite: BIOMG 2800, if BIOMG 1350 has been taken.	COURSE(BIOMG 2800) OR COURSE(BIOMG 1350) OR LPAREN COURSE(BIOMG 3300) OR COURSE(BIOMG 3320) OR COURSE(BIOMG 3350) RPAREN	OK (manually corrected)
BIOMG 3300	one majors-level biology course and one year general chemistry and any of the following organic chemistry courses: CHEM 1570, or CHEM 3530, or CHEM 3570, or CHEM 3590, or equivalent, or permission of instructor.	LPAREN COURSE(Special requirement: one majors-level biology course) AND COURSE(Special requirement: one year general chemistry) AND COURSE(CHEM 1570) OR COURSE(CHEM 3530) OR COURSE(CHEM 3570) OR COURSE(CHEM 3590) RPAREN OR COURSE(Permission: permission of instructor)	OK
BIOMG 3310	one majors-level biology course, one year general chemistry, and any of the following organic chemistry courses: CHEM 1570, CHEM 3530, CHEM 3570, CHEM 3590 or equivalent, or permission of instructor.	LPAREN COURSE(Special requirement: one majors-level biology course) AND COURSE(Special requirement: one year general chemistry) AND COURSE(CHEM 1570) OR COURSE(CHEM 3530) OR COURSE(CHEM 3570) OR COURSE(CHEM 3590) RPAREN OR COURSE(Permission: permission of instructor)	OK
BIOMG 3340	BIOMG 3350, BIOMG 3310, BIOMG 3320 (BIOMG 3320 may be taken concurrently). Corequisite: BIOMG 3300.	COURSE(BIOMG 3350) AND COURSE(BIOMG 3310) AND COURSE(BIOMG 3320)	OK (manually corrected)
BIOMG 3850	BIOMG 2800 or permission of instructor.	LPAREN COURSE(BIOMG 2800) RPAREN OR COURSE(Permission: permission of instructor)	OK
BIOMG 4000	Two majors-level biology courses, and one of the following: BIOMG 2800, BIOMG 3300, BIOMG 3350, BIOMG 3310 or BIOMG 3320, or permission of instructor.	LPAREN COURSE(Special requirement: Two majors-level biology courses) AND LPAREN COURSE(BIOMG 2800) OR COURSE(BIOMG 3300) OR COURSE(BIOMG 3350) OR COURSE(BIOMG 3310) OR COURSE(BIOMG 3320) RPAREN RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
BIOMG 4311	BIOMG 3300, or BIOMG 3350, or BIOMG 3310/BIOMG 3320 and CHEM 3570 and CHEM 3580.	COURSE(BIOMG 3300) OR COURSE(BIOMG 3350) OR LPAREN COURSE(BIOMG 3310) AND COURSE(BIOMG 3320) AND COURSE(CHEM 3570) AND COURSE(CHEM 3580) RPAREN	OK (manually corrected)
BIOMG 4380	BIOMG 3300, or BIOMG 3350 or BIOMG 3310/BIOMG 3320 or permission of instructor.	LPAREN COURSE(BIOMG 3300) OR COURSE(BIOMG 3350) OR COURSE(BIOMG 3310) OR COURSE(BIOMG 3320) RPAREN OR COURSE(Permission: permission of instructor)	OK
BIOMG 4400	BIOMG 3300 or BIOMG 3350 or BIOMG 3310-BIOMG 3320 (at least one of BIOMG 3310-BIOMG 3320 completed, but one may be taken concurrently).	COURSE(BIOMG 3300) OR COURSE(BIOMG 3350) OR LPAREN COURSE(BIOMG 3310) AND COURSE(BIOMG 3320) RPAREN	OK (manually corrected)
